Value,Description
1,"VAST 1.0"
2,"VAST 2.0"
3,"VAST 3.0"
4,"VAST 1.0 Wrapper"
5,"VAST 2.0 Wrapper"
6,"VAST 3.0 Wrapper"
7,"VAST 4.0"
8,"VAST 4.0 Wrapper"
9,"DAAST 1.0"
10,"DAAST 1.0 Wrapper"
