Value,Description
0,"Unknown"
1,"Above the Fold"
2,"DEPRECATED - May or may not be initially visible depending on screen size/resolution."
3,"Below the Fold"
4,"Header"
5,"Footer"
6,"Sidebar"
7,"Full Screen"
