Value,Description
1,"Initiates on Page Load with Sound On",
2,"Initiates on Page Load with Sound Off by Default"
3,"Initiates on Click with Sound On"
4,"Initiates on Mouse-Over with Sound On"
5,"Initiates on Entering Viewport with Sound On"
6,"Initiates on Entering Viewport with Sound Off by Default"
